,8:00-9:15,9:15-10:30,10:30-11:45,11:45-1:00,2:30-3:45,3:45-5:00
Monday,CSE4301 (204) - FH,EEE4383 (301) - SHR,CSE4307 (204) - ARMK,,EEE4384 (6) - SHR + HJA,EEE4384 (6) - SHR + HJA
Tuesday,CSE4303 (204) - SA,,,,,
Wednesday,CSE4302 (2) - MAMR + FJ,CSE4302 (2) - MAMR + FJ,CSE4305 (105) - MHA,Math4341 (105) - IT,,
Thursday,CSE4308 (3) - TZF + IT,CSE4308 (3) - TZF + IT,CSE4303 (105) - SA,CSE4307 (302) - ARMK,,
Friday,Math4341 (304) - IT,EEE4383 (304) - SHR,CSE4304 (5) - RH + AAR,CSE4304 (5) - RH + AAR,CSE4305 (104) - MHA,CSE4301 (301) - FH
