,8:00-9:15,9:15-10:30,10:30-11:45,11:45-1:00,2:30-3:45,3:45-5:00
Monday,Hum4147 (104) - MMH,,Phy4142 (7) - AZR + DFS,Phy4142 (7) - AZR + DFS,HUM4145 (105) - BS,
Tuesday,CSE4105 (104) - KH,Hum4147 (105) - MMH,CSE4104 (3) - MKS + AA,CSE4104 (3) - MKS + AA,Phy4141 (301) - FAK,
Wednesday,Math4141 (304) - MUA,HUM4142 (304) - AH,CSE4108 (4) - SRR + RHJ,CSE4108 (4) - SRR + RHJ,,
Thursday,CSE4107 (204) - MM,Math4141 (304) - MUA,CSE4105 (302) - KH,HUM4145 (204) - BS,Phy4141 (204) - FAK,
Friday,CSE4107 (302) - MM,,,,,
