,8:00-9:15,9:15-10:30,10:30-11:45,11:45-1:00,2:30-3:45,3:45-5:00
Monday,CSE4513 (204) - SAH,Math4541 (301) - AKA,CSE4501 (105) - MRK,,CSE4512 (6) - SB + TSA,CSE4512 (6) - SB + TSA
Tuesday,CSE4508 (2) - FI + TZF,CSE4508 (2) - FI + TZF,CSE4502 (1) - RH + FI,CSE4502 (1) - RH + FI,CSE4540 (7) - FI + TSA,CSE4540 (7) - FI + TSA
Wednesday,CSE4503 (301) - OR,CSE4501 (204) - MRK,,Math4541 (104) - AKA,,
Thursday,CSE4539 (104) - MIA,,,CSE4511 (302) - SH,CSE4510 (4) - SH + HM,CSE4510 (4) - SH + HM
Friday,CSE4513 (302) - SAH,CSE4511 (304) - SH,CSE4503 (301) - OR,CSE4539 (302) - MIA,CSE4504 (8) - ASH + FH,CSE4504 (8) - ASH + FH
